filename	total_regions	last_region	region_sequence
NL-HaNA_1.04.02_3258_0905	5	unknown	unknown,unknown,unknown,unknown,unknown
NL-HaNA_1.04.02_3037_0362	7	catch-word	page-number,marginalia,marginalia,marginalia,paragraph,paragraph,catch-word
NL-HaNA_1.04.02_10173_0077	2	unknown	unknown,unknown
NL-HaNA_1.04.02_8841_0226	2	unknown	unknown,unknown
NL-HaNA_1.04.02_10707_0370	2	unknown	unknown,unknown
NL-HaNA_1.04.02_3265_0604	2	unknown	unknown,unknown
NL-HaNA_1.04.02_8782_0329	5	unknown	unknown,unknown,unknown,unknown,unknown
NL-HaNA_1.04.02_8622_0336	7	unknown	unknown,unknown,unknown,unknown,unknown,unknown,unknown
NL-HaNA_1.04.02_4382_0781	9	text	parheader,text,text,text,text,text,text,text,text
NL-HaNA_1.04.02_8784_0199	1	unknown	unknown
NL-HaNA_1.04.02_9481_0480	0		
NL-HaNA_1.04.02_1614_0577	7	paragraph	heading,heading,paragraph,page-number,heading,paragraph,paragraph
NL-HaNA_1.04.02_9254_0053	3	unknown	unknown,unknown,unknown
NL-HaNA_1.04.02_9502_0672	3	unknown	unknown,unknown,unknown
NL-HaNA_1.04.02_2752_0213	3	unknown	unknown,unknown,unknown
NL-HaNA_1.04.02_3113_0224	5	unknown	unknown,unknown,unknown,unknown,unknown
NL-HaNA_1.04.02_2730_0125	0		
NL-HaNA_1.04.02_4123_0746	9	unknown	unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
NL-HaNA_1.04.02_9231_0065	3	unknown	unknown,unknown,unknown
NL-HaNA_1.04.02_2486_1079	1	page-number	page-number
NL-HaNA_1.04.02_10925_0623	11	catch-word	paragraph,paragraph,paragraph,paragraph,heading,paragraph,paragraph,paragraph,heading,paragraph,catch-word
NL-HaNA_1.04.02_7950_0317	3	unknown	unknown,unknown,unknown
NL-HaNA_1.04.02_2413_0460	12	catch-word	header,paragraph,heading,paragraph,heading,paragraph,heading,paragraph,heading,paragraph,paragraph,catch-word
NL-HaNA_1.04.02_3323_0075	3	unknown	unknown,unknown,unknown
NL-HaNA_1.04.02_4183_0054	0		
NL-HaNA_1.04.02_8846_0085	6	unknown	unknown,unknown,unknown,unknown,unknown,unknown
NL-HaNA_1.04.02_4435_0179	2	unknown	unknown,unknown
NL-HaNA_1.04.02_8666_0009	1	unknown	unknown
NL-HaNA_1.04.02_3403_0247	4	unknown	unknown,unknown,unknown,unknown
NL-HaNA_1.04.02_3571_0633	0		
