filename	total_regions	count_catch-word	count_header	count_heading	count_marginalia	count_page-number	count_paragraph	count_parheader	count_signature-mark	count_text	count_unknown
NL-HaNA_1.04.02_3037_0362	7	1	0	0	3	1	2	0	0	0	0
NL-HaNA_1.04.02_10173_0077	2	0	0	0	0	0	0	0	0	0	2
NL-HaNA_1.04.02_3258_0905	5	0	0	0	0	0	0	0	0	0	5
NL-HaNA_1.04.02_8622_0336	7	0	0	0	0	0	0	0	0	0	7
NL-HaNA_1.04.02_8782_0329	5	0	0	0	0	0	0	0	0	0	5
NL-HaNA_1.04.02_8841_0226	2	0	0	0	0	0	0	0	0	0	2
NL-HaNA_1.04.02_3265_0604	2	0	0	0	0	0	0	0	0	0	2
NL-HaNA_1.04.02_1614_0577	7	0	0	3	0	1	3	0	0	0	0
NL-HaNA_1.04.02_9254_0053	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_10707_0370	2	0	0	0	0	0	0	0	0	0	2
NL-HaNA_1.04.02_3113_0224	5	0	0	0	0	0	0	0	0	0	5
NL-HaNA_1.04.02_9502_0672	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_4123_0746	9	0	0	0	0	0	0	0	0	0	9
NL-HaNA_1.04.02_2752_0213	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_10925_0623	11	1	0	2	0	0	8	0	0	0	0
NL-HaNA_1.04.02_9481_0480	0	0	0	0	0	0	0	0	0	0	0
NL-HaNA_1.04.02_9231_0065	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_4382_0781	9	0	0	0	0	0	0	1	0	8	0
NL-HaNA_1.04.02_2730_0125	0	0	0	0	0	0	0	0	0	0	0
NL-HaNA_1.04.02_8846_0085	6	0	0	0	0	0	0	0	0	0	6
NL-HaNA_1.04.02_3323_0075	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_4183_0054	0	0	0	0	0	0	0	0	0	0	0
NL-HaNA_1.04.02_3403_0247	4	0	0	0	0	0	0	0	0	0	4
NL-HaNA_1.04.02_8666_0009	1	0	0	0	0	0	0	0	0	0	1
NL-HaNA_1.04.02_8784_0199	1	0	0	0	0	0	0	0	0	0	1
NL-HaNA_1.04.02_2486_1079	1	0	0	0	0	1	0	0	0	0	0
NL-HaNA_1.04.02_9889_0295	7	0	0	2	0	0	4	0	1	0	0
NL-HaNA_1.04.02_4435_0179	2	0	0	0	0	0	0	0	0	0	2
NL-HaNA_1.04.02_1702_0492	9	0	0	0	0	0	0	0	0	0	9
NL-HaNA_1.04.02_10533_0117	5	0	0	0	0	0	5	0	0	0	0
NL-HaNA_1.04.02_2413_0460	12	1	1	4	0	0	6	0	0	0	0
NL-HaNA_1.04.02_7950_0317	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_3831_0113	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_3571_0633	0	0	0	0	0	0	0	0	0	0	0
NL-HaNA_1.04.02_7938_0030	5	0	0	0	0	0	0	0	0	0	5
NL-HaNA_1.04.02_10634_0640	0	0	0	0	0	0	0	0	0	0	0
NL-HaNA_1.04.02_3131_0781	6	0	0	0	0	0	0	0	0	0	6
NL-HaNA_1.04.02_3334_0604	1	0	0	0	0	0	0	0	0	0	1
NL-HaNA_1.04.02_3838_0291	5	0	0	0	0	0	0	0	0	0	5
NL-HaNA_1.04.02_4002_1762	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_2241_1211	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_1403_1054	9	1	1	1	1	0	5	0	0	0	0
NL-HaNA_1.04.02_3362_0609	6	0	0	0	0	0	0	0	0	0	6
NL-HaNA_1.04.02_9231_0188	1	0	0	0	0	0	0	0	0	0	1
NL-HaNA_1.04.02_2302_1152	9	0	0	0	2	1	6	0	0	0	0
NL-HaNA_1.04.02_3441_0085	0	0	0	0	0	0	0	0	0	0	0
NL-HaNA_1.04.02_3985_0170	5	0	0	0	0	0	0	0	0	0	5
NL-HaNA_1.04.02_3482_0176	2	0	0	0	0	0	0	0	0	0	2
NL-HaNA_1.04.02_4453_0419	5	0	0	0	0	0	0	0	0	0	5
NL-HaNA_1.04.02_10065_0408	4	0	0	0	0	0	0	0	0	0	4
NL-HaNA_1.04.02_10593_0074	0	0	0	0	0	0	0	0	0	0	0
NL-HaNA_1.04.02_3764_0415	1	0	0	0	0	0	0	0	0	0	1
NL-HaNA_1.04.02_9243_0586	4	0	0	0	0	0	0	0	0	0	4
NL-HaNA_1.04.02_2833_0189	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_3154_0699	5	0	0	0	0	0	0	0	0	0	5
NL-HaNA_1.04.02_1335_0435	6	1	1	1	0	1	2	0	0	0	0
NL-HaNA_1.04.02_1396_1322	5	0	0	0	0	0	0	0	0	0	5
NL-HaNA_1.04.02_9248_0541	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_1201_0470	2	0	0	0	0	1	0	0	0	0	1
NL-HaNA_1.04.02_8004_0553	5	0	0	0	0	0	0	0	0	0	5
NL-HaNA_1.04.02_10965_0993	16	1	0	6	0	0	9	0	0	0	0
NL-HaNA_1.04.02_8107_0380	6	0	0	0	0	0	0	0	0	0	6
NL-HaNA_1.04.02_1672_0566	4	0	0	0	0	0	0	0	0	0	4
NL-HaNA_1.04.02_3018_0173	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_8112_0506	6	1	1	0	1	0	3	0	0	0	0
NL-HaNA_1.04.02_8820_0441	6	0	0	0	0	0	0	0	0	0	6
NL-HaNA_1.04.02_3691_0091	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_10461_0409	4	0	0	0	0	0	0	0	0	0	4
NL-HaNA_1.04.02_1405_0459	8	1	1	0	0	1	5	0	0	0	0
NL-HaNA_1.04.02_4207_0029	1	0	0	0	0	0	0	0	0	0	1
NL-HaNA_1.04.02_4138_0026	1	0	0	0	0	0	0	0	0	0	1
NL-HaNA_1.04.02_9234_0191	7	0	0	0	0	0	0	0	0	0	7
NL-HaNA_1.04.02_3494_0204	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_1175_0144	4	1	0	0	0	0	3	0	0	0	0
NL-HaNA_1.04.02_8220_0158	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_1670_1036	6	1	0	0	0	0	5	0	0	0	0
NL-HaNA_1.04.02_9756_0316	6	0	0	0	0	0	0	0	0	0	6
NL-HaNA_1.04.02_1344_0661	4	0	1	1	0	1	1	0	0	0	0
NL-HaNA_1.04.02_2178_0233	11	0	0	0	0	2	9	0	0	0	0
NL-HaNA_1.04.02_8915_0192	5	0	0	0	0	0	0	0	0	0	5
NL-HaNA_1.04.02_9231_0037	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_3898_0231	4	0	0	0	0	0	0	0	0	0	4
NL-HaNA_1.04.02_9338_0190	0	0	0	0	0	0	0	0	0	0	0
NL-HaNA_1.04.02_4193_0123	4	0	0	0	0	0	0	0	0	0	4
NL-HaNA_1.04.02_10557_0203	5	0	0	0	0	0	0	0	0	0	5
NL-HaNA_1.04.02_1288_0030	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_10548_0131	6	1	1	1	1	0	2	0	0	0	0
NL-HaNA_1.04.02_9244_0885	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_8024_0095	6	0	0	0	0	0	0	0	0	0	6
NL-HaNA_1.04.02_2809_0025	1	0	0	0	0	0	0	0	0	0	1
NL-HaNA_1.04.02_3147_0662	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_1473_1604	5	0	1	1	0	0	1	0	2	0	0
NL-HaNA_1.04.02_1662_0084	17	0	2	4	0	0	11	0	0	0	0
NL-HaNA_1.04.02_3832_0470	4	0	0	0	0	0	0	0	0	0	4
NL-HaNA_1.04.02_9239_1142	7	0	0	0	0	0	0	0	0	0	7
NL-HaNA_1.04.02_3998_2118	3	0	0	0	0	0	0	0	0	0	3
NL-HaNA_1.04.02_2512_1031	10	0	1	0	0	1	8	0	0	0	0
